2025-04-30 12:42:12,918 | main_1746013332_97848(id=97848) |   DEBUG | log.py:49 | get_logger | New logger successfully initialised at /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/.logs/main_1746013332_97848.log
2025-04-30 12:42:16,578 | main_1746013332_97848(id=97848) |    INFO | __init__.py:221 | load_state | Loaded GradCAM object state from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/b000/GradCAM/ResNet50.npz successfully with kwargs set to {}.
2025-04-30 12:42:16,578 | main_1746013332_97848(id=97848) |    INFO | __init__.py:302 | get_explainer_object | Explainer GradCAM loaded.
2025-04-30 12:42:16,581 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:131 | has_explanation_for | self.input and x are ≈equal with diff=0.0.
2025-04-30 12:42:16,582 | main_1746013332_97848(id=97848) |    INFO | batch_evaluate.py:424 | <module> | Evaluating generated explanations...
2025-04-30 12:42:16,582 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating Correctness (via model_randomisation with kwargs={}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:42:16,669 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:196 | load_state | Attempting to load explanation from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/randomised/GradCAM/ResNet50.npz to GradCAM.
2025-04-30 12:42:16,771 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:210 | load_state | Loaded input (shape=torch.Size([32, 3, 224, 224])) matches the provided check input (shape=torch.Size([32, 3, 224, 224])) with diff=0.0.
2025-04-30 12:42:16,773 | main_1746013332_97848(id=97848) |    INFO | __init__.py:221 | load_state | Loaded GradCAM object state from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/randomised/GradCAM/ResNet50.npz successfully with kwargs set to {}.
2025-04-30 12:42:16,775 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:131 | has_explanation_for | self.input and x are ≈equal with diff=0.0.
2025-04-30 12:42:16,775 | main_1746013332_97848(id=97848) |    INFO | __init__.py:307 | get_sub_explainer | Existing explanation found for provided samples (shape=torch.Size([32, 3, 224, 224])) in 'randomised' (a sub-explainer for Correctness).
2025-04-30 12:42:17,087 | main_1746013332_97848(id=97848) |    INFO | __init__.py:67 | __call__ | Generating similarity metrics for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:42:17,088 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:85 | l2_distance | Calculating L2 distance for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:42:17,099 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:129 | spearman_rank | Calculating Spearman rank for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:42:17,260 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:164 | top_m_intersection | Calculating Top-m intersection for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:42:17,262 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:185 | structural_similarity | Calculating structural similarity for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:42:17,320 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating Correctness (via incremental_deletion with kwargs={'deletion_method': 'shuffle', 'iterations': 15, 'n_random_rankings': 5, 'random_seed': 42}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:42:24,910 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:42:27,132 | main_1746013332_97848(id=97848) |   DEBUG | correctness.py:155 | _incremental_deletion | Performing incremental deletion for 5 rounds of randomised deletions.
2025-04-30 12:42:34,585 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:42:44,216 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:42:53,671 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:43:03,379 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:43:14,083 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:43:17,054 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating OutputCompleteness (via deletion_check with kwargs={'deletion_method': 'shuffle', 'proportion': 0.2, 'n_random_rankings': 5, 'random_seed': 42}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:43:17,405 | main_1746013332_97848(id=97848) |   DEBUG | output_completeness.py:153 | delete_from_input | Repeating for randomised deletions.
2025-04-30 12:43:18,505 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for OutputCompleteness with batch size 32 for model ResNet50.
2025-04-30 12:43:19,362 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating OutputCompleteness (via preservation_check with kwargs={'deletion_method': 'shuffle', 'proportion': 0.2, 'n_random_rankings': 5, 'random_seed': 42}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:43:20,398 | main_1746013332_97848(id=97848) |   DEBUG | output_completeness.py:153 | delete_from_input | Repeating for randomised deletions.
2025-04-30 12:43:24,236 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for OutputCompleteness with batch size 32 for model ResNet50.
2025-04-30 12:43:25,096 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating Continuity (via perturbation with kwargs={'degree': 0.15, 'random_seed': 42}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:43:25,138 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:106 | npz_path | Created save_path of GradCAM: /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/perturbed/GradCAM.
2025-04-30 12:43:25,138 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:196 | load_state | Attempting to load explanation from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/perturbed/GradCAM/ResNet50.npz to GradCAM.
2025-04-30 12:43:25,139 | main_1746013332_97848(id=97848) |    INFO | __init__.py:87 | __init__ | Couldn't load existing explanations from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/perturbed/GradCAM/ResNet50.npz and /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/perturbed/GradCAM/ResNet50.json. Using null values.
2025-04-30 12:43:25,139 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:26 | tolerant_equal | Shapes of a (torch.Size([])) and b (torch.Size([32, 3, 224, 224])) are not equal.
2025-04-30 12:43:25,139 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:131 | has_explanation_for | self.input and x are not ≈equal with diff=-1.
2025-04-30 12:43:25,139 | main_1746013332_97848(id=97848) |    INFO | __init__.py:300 | get_sub_explainer | No existing explanation found for provided samples (shape=torch.Size([32, 3, 224, 224])) in 'perturbed' (a sub-explainer for Continuity). Generating a new one.
2025-04-30 12:43:25,139 | main_1746013332_97848(id=97848) |    INFO | __init__.py:149 | explain | Generating explanations in GradCAM for x.shape=torch.Size([32, 3, 224, 224]) with kwargs={} (self.kwargs updated). General Explainer batch size (with gradients) is 32.
2025-04-30 12:43:27,555 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:187 | save_state | Saved GradCAM's explanation to /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/perturbed/GradCAM/ResNet50.npz (kwargs={}).
2025-04-30 12:43:27,560 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Continuity with batch size 32 for model ResNet50.
2025-04-30 12:43:27,793 | main_1746013332_97848(id=97848) |    INFO | continuity.py:95 | _perturbation | Perturbations changed the model's prediction for idxs=[ 0  1  2  3  4  5  6  8  9 11 12 16 19 20 21 22 24 25 26 28 30 31] (n=22/32).
2025-04-30 12:43:28,096 | main_1746013332_97848(id=97848) |    INFO | __init__.py:67 | __call__ | Generating similarity metrics for Similarity(shape=(32, 224, 224), num_hidden_idxs=22).
2025-04-30 12:43:28,096 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:85 | l2_distance | Calculating L2 distance for Similarity(shape=(32, 224, 224), num_hidden_idxs=22).
2025-04-30 12:43:28,108 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:129 | spearman_rank | Calculating Spearman rank for Similarity(shape=(32, 224, 224), num_hidden_idxs=22).
2025-04-30 12:43:28,263 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:164 | top_m_intersection | Calculating Top-m intersection for Similarity(shape=(32, 224, 224), num_hidden_idxs=22).
2025-04-30 12:43:28,264 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:185 | structural_similarity | Calculating structural similarity for Similarity(shape=(32, 224, 224), num_hidden_idxs=22).
2025-04-30 12:43:28,317 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating Contrastivity (via target_sensitivity with kwargs={}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:43:28,318 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Contrastivity with batch size 32 for model ResNet50.
2025-04-30 12:43:28,436 | main_1746013332_97848(id=97848) |    INFO | contrastivity.py:108 | _target_sensitivity | No existing adversarial images at /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/ResNet50_adversarial_examples.npz. Generating new ones via foolbox with batch size 32.
2025-04-30 12:43:37,033 | main_1746013332_97848(id=97848) |   DEBUG | contrastivity.py:169 | _target_sensitivity | Saved generated adversarial images to /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/ResNet50_adversarial_examples.npz.
2025-04-30 12:43:37,034 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Contrastivity with batch size 32 for model ResNet50.
2025-04-30 12:43:37,256 | main_1746013332_97848(id=97848) |   DEBUG | contrastivity.py:173 | _target_sensitivity | 32 adversarial examples (og->adv): [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]->[5 2 6 6 7 5 2 6 6 6 6 8 2 6 8 6 5 9 6 8 8 6 8 8 5 5 6 8 6 6 6 9].
2025-04-30 12:43:37,257 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:106 | npz_path | Created save_path of GradCAM: /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/adversarial/GradCAM.
2025-04-30 12:43:37,257 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:196 | load_state | Attempting to load explanation from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/adversarial/GradCAM/ResNet50.npz to GradCAM.
2025-04-30 12:43:37,257 | main_1746013332_97848(id=97848) |    INFO | __init__.py:87 | __init__ | Couldn't load existing explanations from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/adversarial/GradCAM/ResNet50.npz and /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/adversarial/GradCAM/ResNet50.json. Using null values.
2025-04-30 12:43:37,257 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:26 | tolerant_equal | Shapes of a (torch.Size([])) and b (torch.Size([32, 3, 224, 224])) are not equal.
2025-04-30 12:43:37,257 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:131 | has_explanation_for | self.input and x are not ≈equal with diff=-1.
2025-04-30 12:43:37,258 | main_1746013332_97848(id=97848) |    INFO | __init__.py:300 | get_sub_explainer | No existing explanation found for provided samples (shape=torch.Size([32, 3, 224, 224])) in 'adversarial' (a sub-explainer for Contrastivity). Generating a new one.
2025-04-30 12:43:37,258 | main_1746013332_97848(id=97848) |    INFO | __init__.py:149 | explain | Generating explanations in GradCAM for x.shape=torch.Size([32, 3, 224, 224]) with kwargs={} (self.kwargs updated). General Explainer batch size (with gradients) is 32.
2025-04-30 12:43:38,596 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:187 | save_state | Saved GradCAM's explanation to /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/combined/adversarial/GradCAM/ResNet50.npz (kwargs={}).
2025-04-30 12:43:38,899 | main_1746013332_97848(id=97848) |    INFO | __init__.py:67 | __call__ | Generating similarity metrics for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:38,900 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:85 | l2_distance | Calculating L2 distance for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:38,913 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:129 | spearman_rank | Calculating Spearman rank for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:39,082 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:164 | top_m_intersection | Calculating Top-m intersection for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:39,084 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:185 | structural_similarity | Calculating structural similarity for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:39,150 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating Compactness (via threshold with kwargs={'threshold': 0.5}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:43:39,152 | main_1746013332_97848(id=97848) |    INFO | batch_evaluate.py:496 | <module> | Saving calculated evaluation metrics to results dataframe...
2025-04-30 12:43:39,155 | main_1746013332_97848(id=97848) |   DEBUG | batch_evaluate.py:67 | get_hdf5 | Opened HDF5 file /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/results/GradCAM/demo_output.h5.
2025-04-30 12:43:39,164 | main_1746013332_97848(id=97848) |   DEBUG | batch_evaluate.py:67 | get_hdf5 | Opened HDF5 file /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/results/GradCAM/demo_output.h5.
2025-04-30 12:43:39,292 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:288 | get_explainer_object | Building GradCAM explainer...
2025-04-30 12:43:39,335 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:106 | npz_path | Created save_path of GradCAM: /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/b000/GradCAM.
2025-04-30 12:43:39,335 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:196 | load_state | Attempting to load explanation from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/b000/GradCAM/ResNet50.npz to GradCAM.
2025-04-30 12:43:39,336 | main_1746013332_97848(id=97848) |    INFO | __init__.py:87 | __init__ | Couldn't load existing explanations from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/b000/GradCAM/ResNet50.npz and /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/b000/GradCAM/ResNet50.json. Using null values.
2025-04-30 12:43:39,336 | main_1746013332_97848(id=97848) |    INFO | __init__.py:302 | get_explainer_object | Explainer GradCAM loaded.
2025-04-30 12:43:39,337 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:26 | tolerant_equal | Shapes of a (torch.Size([])) and b (torch.Size([32, 3, 224, 224])) are not equal.
2025-04-30 12:43:39,337 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:131 | has_explanation_for | self.input and x are not ≈equal with diff=-1.
2025-04-30 12:43:39,337 | main_1746013332_97848(id=97848) |   DEBUG | batch_evaluate.py:95 | generate_explanations | No existing explanation for batch 0 of class 1. Generating new ones.
2025-04-30 12:43:39,337 | main_1746013332_97848(id=97848) |    INFO | __init__.py:149 | explain | Generating explanations in GradCAM for x.shape=torch.Size([32, 3, 224, 224]) with kwargs={} (self.kwargs updated). General Explainer batch size (with gradients) is 32.
2025-04-30 12:43:40,582 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:187 | save_state | Saved GradCAM's explanation to /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/b000/GradCAM/ResNet50.npz (kwargs={}).
2025-04-30 12:43:40,584 | main_1746013332_97848(id=97848) |    INFO | batch_evaluate.py:424 | <module> | Evaluating generated explanations...
2025-04-30 12:43:40,584 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating Correctness (via model_randomisation with kwargs={}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:43:40,615 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:106 | npz_path | Created save_path of GradCAM: /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/combined/randomised/GradCAM.
2025-04-30 12:43:40,615 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:196 | load_state | Attempting to load explanation from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/combined/randomised/GradCAM/ResNet50.npz to GradCAM.
2025-04-30 12:43:40,616 | main_1746013332_97848(id=97848) |    INFO | __init__.py:87 | __init__ | Couldn't load existing explanations from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/combined/randomised/GradCAM/ResNet50.npz and /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/combined/randomised/GradCAM/ResNet50.json. Using null values.
2025-04-30 12:43:40,616 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:26 | tolerant_equal | Shapes of a (torch.Size([])) and b (torch.Size([32, 3, 224, 224])) are not equal.
2025-04-30 12:43:40,616 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:131 | has_explanation_for | self.input and x are not ≈equal with diff=-1.
2025-04-30 12:43:40,616 | main_1746013332_97848(id=97848) |    INFO | __init__.py:300 | get_sub_explainer | No existing explanation found for provided samples (shape=torch.Size([32, 3, 224, 224])) in 'randomised' (a sub-explainer for Correctness). Generating a new one.
2025-04-30 12:43:40,616 | main_1746013332_97848(id=97848) |    INFO | __init__.py:149 | explain | Generating explanations in GradCAM for x.shape=torch.Size([32, 3, 224, 224]) with kwargs={} (self.kwargs updated). General Explainer batch size (with gradients) is 32.
2025-04-30 12:43:41,679 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:187 | save_state | Saved GradCAM's explanation to /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c01/combined/randomised/GradCAM/ResNet50.npz (kwargs={}).
2025-04-30 12:43:41,918 | main_1746013332_97848(id=97848) |    INFO | __init__.py:67 | __call__ | Generating similarity metrics for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:41,918 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:85 | l2_distance | Calculating L2 distance for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:41,930 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:129 | spearman_rank | Calculating Spearman rank for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:42,075 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:164 | top_m_intersection | Calculating Top-m intersection for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:42,077 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:185 | structural_similarity | Calculating structural similarity for Similarity(shape=(32, 224, 224), num_hidden_idxs=0).
2025-04-30 12:43:42,140 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating Correctness (via incremental_deletion with kwargs={'deletion_method': 'shuffle', 'iterations': 15, 'n_random_rankings': 5, 'random_seed': 42}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:43:50,390 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:43:53,276 | main_1746013332_97848(id=97848) |   DEBUG | correctness.py:155 | _incremental_deletion | Performing incremental deletion for 5 rounds of randomised deletions.
2025-04-30 12:44:01,105 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:44:11,514 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:44:21,646 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:44:31,262 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:44:40,499 | main_1746013332_97848(id=97848) |    INFO | __init__.py:259 | run_model | Generating model predictions on new images (e.g. perturbed) for Correctness with batch size 32 for model ResNet50.
2025-04-30 12:44:42,340 | main_1746013332_97848(id=97848) |    INFO | __init__.py:236 | evaluate | Evaluating OutputCompleteness (via deletion_check with kwargs={'deletion_method': 'shuffle', 'proportion': 0.2, 'n_random_rankings': 5, 'random_seed': 42}) of GradCAM for ResNet50 (with store_full_data=False).
2025-04-30 12:44:42,693 | main_1746013332_97848(id=97848) |   DEBUG | output_completeness.py:153 | delete_from_input | Repeating for randomised deletions.
